Schema;Table;schematable;Column_ID;Column;constraint;primary table;pk column name;constraint column;foreign key constraint;domain
dbo;AWBuildVersion;dboAWBuildVersion;1;SystemInformationID;NULL;NULL;NULL;NULL;NULL;tinyint
dbo;AWBuildVersion;dboAWBuildVersion;2;Database Version;NULL;NULL;NULL;NULL;NULL;nvarchar
dbo;AWBuildVersion;dboAWBuildVersion;2;Database Version;NULL;NULL;NULL;NULL;NULL;sysname
dbo;AWBuildVersion;dboAWBuildVersion;2;Database Version;NULL;NULL;NULL;NULL;NULL;AccountNumber
dbo;AWBuildVersion;dboAWBuildVersion;2;Database Version;NULL;NULL;NULL;NULL;NULL;Name
dbo;AWBuildVersion;dboAWBuildVersion;2;Database Version;NULL;NULL;NULL;NULL;NULL;OrderNumber
dbo;AWBuildVersion;dboAWBuildVersion;2;Database Version;NULL;NULL;NULL;NULL;NULL;Phone
dbo;AWBuildVersion;dboAWBuildVersion;3;VersionDate;NULL;NULL;NULL;NULL;NULL;datetime
dbo;AWBuildVersion;dboAWBuildVersion;4;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
dbo;DatabaseLog;dboDatabaseLog;1;DatabaseLogID;NULL;NULL;NULL;NULL;NULL;int
dbo;DatabaseLog;dboDatabaseLog;2;PostTime;NULL;NULL;NULL;NULL;NULL;datetime
dbo;DatabaseLog;dboDatabaseLog;3;DatabaseUser;NULL;NULL;NULL;NULL;NULL;nvarchar
dbo;DatabaseLog;dboDatabaseLog;3;DatabaseUser;NULL;NULL;NULL;NULL;NULL;sysname
dbo;DatabaseLog;dboDatabaseLog;3;DatabaseUser;NULL;NULL;NULL;NULL;NULL;AccountNumber
dbo;DatabaseLog;dboDatabaseLog;3;DatabaseUser;NULL;NULL;NULL;NULL;NULL;Name
dbo;DatabaseLog;dboDatabaseLog;3;DatabaseUser;NULL;NULL;NULL;NULL;NULL;OrderNumber
dbo;DatabaseLog;dboDatabaseLog;3;DatabaseUser;NULL;NULL;NULL;NULL;NULL;Phone
dbo;DatabaseLog;dboDatabaseLog;4;Event;NULL;NULL;NULL;NULL;NULL;nvarchar
dbo;DatabaseLog;dboDatabaseLog;4;Event;NULL;NULL;NULL;NULL;NULL;sysname
dbo;DatabaseLog;dboDatabaseLog;4;Event;NULL;NULL;NULL;NULL;NULL;AccountNumber
dbo;DatabaseLog;dboDatabaseLog;4;Event;NULL;NULL;NULL;NULL;NULL;Name
dbo;DatabaseLog;dboDatabaseLog;4;Event;NULL;NULL;NULL;NULL;NULL;OrderNumber
dbo;DatabaseLog;dboDatabaseLog;4;Event;NULL;NULL;NULL;NULL;NULL;Phone
dbo;DatabaseLog;dboDatabaseLog;5;Schema;NULL;NULL;NULL;NULL;NULL;nvarchar
dbo;DatabaseLog;dboDatabaseLog;5;Schema;NULL;NULL;NULL;NULL;NULL;sysname
dbo;DatabaseLog;dboDatabaseLog;5;Schema;NULL;NULL;NULL;NULL;NULL;AccountNumber
dbo;DatabaseLog;dboDatabaseLog;5;Schema;NULL;NULL;NULL;NULL;NULL;Name
dbo;DatabaseLog;dboDatabaseLog;5;Schema;NULL;NULL;NULL;NULL;NULL;OrderNumber
dbo;DatabaseLog;dboDatabaseLog;5;Schema;NULL;NULL;NULL;NULL;NULL;Phone
dbo;DatabaseLog;dboDatabaseLog;6;Object;NULL;NULL;NULL;NULL;NULL;nvarchar
dbo;DatabaseLog;dboDatabaseLog;6;Object;NULL;NULL;NULL;NULL;NULL;sysname
dbo;DatabaseLog;dboDatabaseLog;6;Object;NULL;NULL;NULL;NULL;NULL;AccountNumber
dbo;DatabaseLog;dboDatabaseLog;6;Object;NULL;NULL;NULL;NULL;NULL;Name
dbo;DatabaseLog;dboDatabaseLog;6;Object;NULL;NULL;NULL;NULL;NULL;OrderNumber
dbo;DatabaseLog;dboDatabaseLog;6;Object;NULL;NULL;NULL;NULL;NULL;Phone
dbo;DatabaseLog;dboDatabaseLog;7;TSQL;NULL;NULL;NULL;NULL;NULL;nvarchar
dbo;DatabaseLog;dboDatabaseLog;7;TSQL;NULL;NULL;NULL;NULL;NULL;sysname
dbo;DatabaseLog;dboDatabaseLog;7;TSQL;NULL;NULL;NULL;NULL;NULL;AccountNumber
dbo;DatabaseLog;dboDatabaseLog;7;TSQL;NULL;NULL;NULL;NULL;NULL;Name
dbo;DatabaseLog;dboDatabaseLog;7;TSQL;NULL;NULL;NULL;NULL;NULL;OrderNumber
dbo;DatabaseLog;dboDatabaseLog;7;TSQL;NULL;NULL;NULL;NULL;NULL;Phone
dbo;DatabaseLog;dboDatabaseLog;8;XmlEvent;NULL;NULL;NULL;NULL;NULL;xml
dbo;ErrorLog;dboErrorLog;1;ErrorLogID;NULL;NULL;NULL;NULL;NULL;int
dbo;ErrorLog;dboErrorLog;2;ErrorTime;NULL;NULL;NULL;NULL;NULL;datetime
dbo;ErrorLog;dboErrorLog;3;UserName;NULL;NULL;NULL;NULL;NULL;nvarchar
dbo;ErrorLog;dboErrorLog;3;UserName;NULL;NULL;NULL;NULL;NULL;sysname
dbo;ErrorLog;dboErrorLog;3;UserName;NULL;NULL;NULL;NULL;NULL;AccountNumber
dbo;ErrorLog;dboErrorLog;3;UserName;NULL;NULL;NULL;NULL;NULL;Name
dbo;ErrorLog;dboErrorLog;3;UserName;NULL;NULL;NULL;NULL;NULL;OrderNumber
dbo;ErrorLog;dboErrorLog;3;UserName;NULL;NULL;NULL;NULL;NULL;Phone
dbo;ErrorLog;dboErrorLog;4;ErrorNumber;NULL;NULL;NULL;NULL;NULL;int
dbo;ErrorLog;dboErrorLog;5;ErrorSeverity;NULL;NULL;NULL;NULL;NULL;int
dbo;ErrorLog;dboErrorLog;6;ErrorState;NULL;NULL;NULL;NULL;NULL;int
dbo;ErrorLog;dboErrorLog;7;ErrorProcedure;NULL;NULL;NULL;NULL;NULL;nvarchar
dbo;ErrorLog;dboErrorLog;7;ErrorProcedure;NULL;NULL;NULL;NULL;NULL;sysname
dbo;ErrorLog;dboErrorLog;7;ErrorProcedure;NULL;NULL;NULL;NULL;NULL;AccountNumber
dbo;ErrorLog;dboErrorLog;7;ErrorProcedure;NULL;NULL;NULL;NULL;NULL;Name
dbo;ErrorLog;dboErrorLog;7;ErrorProcedure;NULL;NULL;NULL;NULL;NULL;OrderNumber
dbo;ErrorLog;dboErrorLog;7;ErrorProcedure;NULL;NULL;NULL;NULL;NULL;Phone
dbo;ErrorLog;dboErrorLog;8;ErrorLine;NULL;NULL;NULL;NULL;NULL;int
dbo;ErrorLog;dboErrorLog;9;ErrorMessage;NULL;NULL;NULL;NULL;NULL;nvarchar
dbo;ErrorLog;dboErrorLog;9;ErrorMessage;NULL;NULL;NULL;NULL;NULL;sysname
dbo;ErrorLog;dboErrorLog;9;ErrorMessage;NULL;NULL;NULL;NULL;NULL;AccountNumber
dbo;ErrorLog;dboErrorLog;9;ErrorMessage;NULL;NULL;NULL;NULL;NULL;Name
dbo;ErrorLog;dboErrorLog;9;ErrorMessage;NULL;NULL;NULL;NULL;NULL;OrderNumber
dbo;ErrorLog;dboErrorLog;9;ErrorMessage;NULL;NULL;NULL;NULL;NULL;Phone
dbo;sysdiagrams;dbosysdiagrams;1;name;NULL;NULL;NULL;NULL;NULL;nvarchar
dbo;sysdiagrams;dbosysdiagrams;1;name;NULL;NULL;NULL;NULL;NULL;sysname
dbo;sysdiagrams;dbosysdiagrams;1;name;NULL;NULL;NULL;NULL;NULL;AccountNumber
dbo;sysdiagrams;dbosysdiagrams;1;name;NULL;NULL;NULL;NULL;NULL;Name
dbo;sysdiagrams;dbosysdiagrams;1;name;NULL;NULL;NULL;NULL;NULL;OrderNumber
dbo;sysdiagrams;dbosysdiagrams;1;name;NULL;NULL;NULL;NULL;NULL;Phone
dbo;sysdiagrams;dbosysdiagrams;2;principal_id;NULL;NULL;NULL;NULL;NULL;int
dbo;sysdiagrams;dbosysdiagrams;3;diagram_id;NULL;NULL;NULL;NULL;NULL;int
dbo;sysdiagrams;dbosysdiagrams;4;version;NULL;NULL;NULL;NULL;NULL;int
dbo;sysdiagrams;dbosysdiagrams;5;definition;NULL;NULL;NULL;NULL;NULL;varbinary
HumanResources;Department;HumanResourcesDepartment;1;DepartmentID;NULL;NULL;NULL;NULL;NULL;smallint
HumanResources;Department;HumanResourcesDepartment;2;Name;NULL;NULL;NULL;NULL;NULL;nvarchar
HumanResources;Department;HumanResourcesDepartment;2;Name;NULL;NULL;NULL;NULL;NULL;sysname
HumanResources;Department;HumanResourcesDepartment;2;Name;NULL;NULL;NULL;NULL;NULL;AccountNumber
HumanResources;Department;HumanResourcesDepartment;2;Name;NULL;NULL;NULL;NULL;NULL;Name
HumanResources;Department;HumanResourcesDepartment;2;Name;NULL;NULL;NULL;NULL;NULL;OrderNumber
HumanResources;Department;HumanResourcesDepartment;2;Name;NULL;NULL;NULL;NULL;NULL;Phone
HumanResources;Department;HumanResourcesDepartment;3;GroupName;NULL;NULL;NULL;NULL;NULL;nvarchar
HumanResources;Department;HumanResourcesDepartment;3;GroupName;NULL;NULL;NULL;NULL;NULL;sysname
HumanResources;Department;HumanResourcesDepartment;3;GroupName;NULL;NULL;NULL;NULL;NULL;AccountNumber
HumanResources;Department;HumanResourcesDepartment;3;GroupName;NULL;NULL;NULL;NULL;NULL;Name
HumanResources;Department;HumanResourcesDepartment;3;GroupName;NULL;NULL;NULL;NULL;NULL;OrderNumber
HumanResources;Department;HumanResourcesDepartment;3;GroupName;NULL;NULL;NULL;NULL;NULL;Phone
HumanResources;Department;HumanResourcesDepartment;4;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
HumanResources;Employee;HumanResourcesEmployee;1;BusinessEntityID;>-;Person.Person;BusinessEntityID;1;FK_Employee_Person_BusinessEntityID;int
HumanResources;Employee;HumanResourcesEmployee;2;NationalIDNumber;NULL;NULL;NULL;NULL;NULL;nvarchar
HumanResources;Employee;HumanResourcesEmployee;2;NationalIDNumber;NULL;NULL;NULL;NULL;NULL;sysname
HumanResources;Employee;HumanResourcesEmployee;2;NationalIDNumber;NULL;NULL;NULL;NULL;NULL;AccountNumber
HumanResources;Employee;HumanResourcesEmployee;2;NationalIDNumber;NULL;NULL;NULL;NULL;NULL;Name
HumanResources;Employee;HumanResourcesEmployee;2;NationalIDNumber;NULL;NULL;NULL;NULL;NULL;OrderNumber
HumanResources;Employee;HumanResourcesEmployee;2;NationalIDNumber;NULL;NULL;NULL;NULL;NULL;Phone
HumanResources;Employee;HumanResourcesEmployee;3;LoginID;NULL;NULL;NULL;NULL;NULL;nvarchar
HumanResources;Employee;HumanResourcesEmployee;3;LoginID;NULL;NULL;NULL;NULL;NULL;sysname
HumanResources;Employee;HumanResourcesEmployee;3;LoginID;NULL;NULL;NULL;NULL;NULL;AccountNumber
HumanResources;Employee;HumanResourcesEmployee;3;LoginID;NULL;NULL;NULL;NULL;NULL;Name
HumanResources;Employee;HumanResourcesEmployee;3;LoginID;NULL;NULL;NULL;NULL;NULL;OrderNumber
HumanResources;Employee;HumanResourcesEmployee;3;LoginID;NULL;NULL;NULL;NULL;NULL;Phone
HumanResources;Employee;HumanResourcesEmployee;4;OrganizationNode;NULL;NULL;NULL;NULL;NULL;hierarchyid
HumanResources;Employee;HumanResourcesEmployee;4;OrganizationNode;NULL;NULL;NULL;NULL;NULL;geometry
HumanResources;Employee;HumanResourcesEmployee;4;OrganizationNode;NULL;NULL;NULL;NULL;NULL;geography
HumanResources;Employee;HumanResourcesEmployee;5;OrganizationLevel;NULL;NULL;NULL;NULL;NULL;smallint
HumanResources;Employee;HumanResourcesEmployee;6;JobTitle;NULL;NULL;NULL;NULL;NULL;nvarchar
HumanResources;Employee;HumanResourcesEmployee;6;JobTitle;NULL;NULL;NULL;NULL;NULL;sysname
HumanResources;Employee;HumanResourcesEmployee;6;JobTitle;NULL;NULL;NULL;NULL;NULL;AccountNumber
HumanResources;Employee;HumanResourcesEmployee;6;JobTitle;NULL;NULL;NULL;NULL;NULL;Name
HumanResources;Employee;HumanResourcesEmployee;6;JobTitle;NULL;NULL;NULL;NULL;NULL;OrderNumber
HumanResources;Employee;HumanResourcesEmployee;6;JobTitle;NULL;NULL;NULL;NULL;NULL;Phone
HumanResources;Employee;HumanResourcesEmployee;7;BirthDate;NULL;NULL;NULL;NULL;NULL;date
HumanResources;Employee;HumanResourcesEmployee;8;MaritalStatus;NULL;NULL;NULL;NULL;NULL;nchar
HumanResources;Employee;HumanResourcesEmployee;9;Gender;NULL;NULL;NULL;NULL;NULL;nchar
HumanResources;Employee;HumanResourcesEmployee;10;HireDate;NULL;NULL;NULL;NULL;NULL;date
HumanResources;Employee;HumanResourcesEmployee;11;SalariedFlag;NULL;NULL;NULL;NULL;NULL;bit
HumanResources;Employee;HumanResourcesEmployee;11;SalariedFlag;NULL;NULL;NULL;NULL;NULL;Flag
HumanResources;Employee;HumanResourcesEmployee;11;SalariedFlag;NULL;NULL;NULL;NULL;NULL;NameStyle
HumanResources;Employee;HumanResourcesEmployee;12;VacationHours;NULL;NULL;NULL;NULL;NULL;smallint
HumanResources;Employee;HumanResourcesEmployee;13;SickLeaveHours;NULL;NULL;NULL;NULL;NULL;smallint
HumanResources;Employee;HumanResourcesEmployee;14;CurrentFlag;NULL;NULL;NULL;NULL;NULL;bit
HumanResources;Employee;HumanResourcesEmployee;14;CurrentFlag;NULL;NULL;NULL;NULL;NULL;Flag
HumanResources;Employee;HumanResourcesEmployee;14;CurrentFlag;NULL;NULL;NULL;NULL;NULL;NameStyle
HumanResources;Employee;HumanResourcesEmployee;15;rowguid;NULL;NULL;NULL;NULL;NULL;uniqueidentifier
HumanResources;Employee;HumanResourcesEmployee;16;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
HumanResources;EmployeeDepartmentHistory;HumanResourcesEmployeeDepartmentHistory;1;BusinessEntityID;>-;HumanResources.Employee;BusinessEntityID;1;FK_EmployeeDepartmentHistory_Employee_BusinessEntityID;int
HumanResources;EmployeeDepartmentHistory;HumanResourcesEmployeeDepartmentHistory;2;DepartmentID;>-;HumanResources.Department;DepartmentID;1;FK_EmployeeDepartmentHistory_Department_DepartmentID;smallint
HumanResources;EmployeeDepartmentHistory;HumanResourcesEmployeeDepartmentHistory;3;ShiftID;>-;HumanResources.Shift;ShiftID;1;FK_EmployeeDepartmentHistory_Shift_ShiftID;tinyint
HumanResources;EmployeeDepartmentHistory;HumanResourcesEmployeeDepartmentHistory;4;StartDate;NULL;NULL;NULL;NULL;NULL;date
HumanResources;EmployeeDepartmentHistory;HumanResourcesEmployeeDepartmentHistory;5;EndDate;NULL;NULL;NULL;NULL;NULL;date
HumanResources;EmployeeDepartmentHistory;HumanResourcesEmployeeDepartmentHistory;6;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
HumanResources;EmployeePayHistory;HumanResourcesEmployeePayHistory;1;BusinessEntityID;>-;HumanResources.Employee;BusinessEntityID;1;FK_EmployeePayHistory_Employee_BusinessEntityID;int
HumanResources;EmployeePayHistory;HumanResourcesEmployeePayHistory;2;RateChangeDate;NULL;NULL;NULL;NULL;NULL;datetime
HumanResources;EmployeePayHistory;HumanResourcesEmployeePayHistory;3;Rate;NULL;NULL;NULL;NULL;NULL;money
HumanResources;EmployeePayHistory;HumanResourcesEmployeePayHistory;4;PayFrequency;NULL;NULL;NULL;NULL;NULL;tinyint
HumanResources;EmployeePayHistory;HumanResourcesEmployeePayHistory;5;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
HumanResources;JobCandidate;HumanResourcesJobCandidate;1;JobCandidateID;NULL;NULL;NULL;NULL;NULL;int
HumanResources;JobCandidate;HumanResourcesJobCandidate;2;BusinessEntityID;>-;HumanResources.Employee;BusinessEntityID;1;FK_JobCandidate_Employee_BusinessEntityID;int
HumanResources;JobCandidate;HumanResourcesJobCandidate;3;Resume;NULL;NULL;NULL;NULL;NULL;xml
HumanResources;JobCandidate;HumanResourcesJobCandidate;4;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
HumanResources;Shift;HumanResourcesShift;1;ShiftID;NULL;NULL;NULL;NULL;NULL;tinyint
HumanResources;Shift;HumanResourcesShift;2;Name;NULL;NULL;NULL;NULL;NULL;nvarchar
HumanResources;Shift;HumanResourcesShift;2;Name;NULL;NULL;NULL;NULL;NULL;sysname
HumanResources;Shift;HumanResourcesShift;2;Name;NULL;NULL;NULL;NULL;NULL;AccountNumber
HumanResources;Shift;HumanResourcesShift;2;Name;NULL;NULL;NULL;NULL;NULL;Name
HumanResources;Shift;HumanResourcesShift;2;Name;NULL;NULL;NULL;NULL;NULL;OrderNumber
HumanResources;Shift;HumanResourcesShift;2;Name;NULL;NULL;NULL;NULL;NULL;Phone
HumanResources;Shift;HumanResourcesShift;3;StartTime;NULL;NULL;NULL;NULL;NULL;time
HumanResources;Shift;HumanResourcesShift;4;EndTime;NULL;NULL;NULL;NULL;NULL;time
HumanResources;Shift;HumanResourcesShift;5;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
Person;Address;PersonAddress;1;AddressID;NULL;NULL;NULL;NULL;NULL;int
Person;Address;PersonAddress;2;AddressLine1;NULL;NULL;NULL;NULL;NULL;nvarchar
Person;Address;PersonAddress;2;AddressLine1;NULL;NULL;NULL;NULL;NULL;sysname
Person;Address;PersonAddress;2;AddressLine1;NULL;NULL;NULL;NULL;NULL;AccountNumber
Person;Address;PersonAddress;2;AddressLine1;NULL;NULL;NULL;NULL;NULL;Name
Person;Address;PersonAddress;2;AddressLine1;NULL;NULL;NULL;NULL;NULL;OrderNumber
Person;Address;PersonAddress;2;AddressLine1;NULL;NULL;NULL;NULL;NULL;Phone
Person;Address;PersonAddress;3;AddressLine2;NULL;NULL;NULL;NULL;NULL;nvarchar
Person;Address;PersonAddress;3;AddressLine2;NULL;NULL;NULL;NULL;NULL;sysname
Person;Address;PersonAddress;3;AddressLine2;NULL;NULL;NULL;NULL;NULL;AccountNumber
Person;Address;PersonAddress;3;AddressLine2;NULL;NULL;NULL;NULL;NULL;Name
Person;Address;PersonAddress;3;AddressLine2;NULL;NULL;NULL;NULL;NULL;OrderNumber
Person;Address;PersonAddress;3;AddressLine2;NULL;NULL;NULL;NULL;NULL;Phone
Person;Address;PersonAddress;4;City;NULL;NULL;NULL;NULL;NULL;nvarchar
Person;Address;PersonAddress;4;City;NULL;NULL;NULL;NULL;NULL;sysname
Person;Address;PersonAddress;4;City;NULL;NULL;NULL;NULL;NULL;AccountNumber
Person;Address;PersonAddress;4;City;NULL;NULL;NULL;NULL;NULL;Name
Person;Address;PersonAddress;4;City;NULL;NULL;NULL;NULL;NULL;OrderNumber
Person;Address;PersonAddress;4;City;NULL;NULL;NULL;NULL;NULL;Phone
Person;Address;PersonAddress;5;StateProvinceID;>-;Person.StateProvince;StateProvinceID;1;FK_Address_StateProvince_StateProvinceID;int
Person;Address;PersonAddress;6;PostalCode;NULL;NULL;NULL;NULL;NULL;nvarchar
Person;Address;PersonAddress;6;PostalCode;NULL;NULL;NULL;NULL;NULL;sysname
Person;Address;PersonAddress;6;PostalCode;NULL;NULL;NULL;NULL;NULL;AccountNumber
Person;Address;PersonAddress;6;PostalCode;NULL;NULL;NULL;NULL;NULL;Name
Person;Address;PersonAddress;6;PostalCode;NULL;NULL;NULL;NULL;NULL;OrderNumber
Person;Address;PersonAddress;6;PostalCode;NULL;NULL;NULL;NULL;NULL;Phone
Person;Address;PersonAddress;7;SpatialLocation;NULL;NULL;NULL;NULL;NULL;hierarchyid
Person;Address;PersonAddress;7;SpatialLocation;NULL;NULL;NULL;NULL;NULL;geometry
Person;Address;PersonAddress;7;SpatialLocation;NULL;NULL;NULL;NULL;NULL;geography
Person;Address;PersonAddress;8;rowguid;NULL;NULL;NULL;NULL;NULL;uniqueidentifier
Person;Address;PersonAddress;9;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
Person;AddressType;PersonAddressType;1;AddressTypeID;NULL;NULL;NULL;NULL;NULL;int
Person;AddressType;PersonAddressType;2;Name;NULL;NULL;NULL;NULL;NULL;nvarchar
Person;AddressType;PersonAddressType;2;Name;NULL;NULL;NULL;NULL;NULL;sysname
Person;AddressType;PersonAddressType;2;Name;NULL;NULL;NULL;NULL;NULL;AccountNumber
Person;AddressType;PersonAddressType;2;Name;NULL;NULL;NULL;NULL;NULL;Name
Person;AddressType;PersonAddressType;2;Name;NULL;NULL;NULL;NULL;NULL;OrderNumber
Person;AddressType;PersonAddressType;2;Name;NULL;NULL;NULL;NULL;NULL;Phone
Person;AddressType;PersonAddressType;3;rowguid;NULL;NULL;NULL;NULL;NULL;uniqueidentifier
Person;AddressType;PersonAddressType;4;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
Person;BusinessEntity;PersonBusinessEntity;1;BusinessEntityID;NULL;NULL;NULL;NULL;NULL;int
Person;BusinessEntity;PersonBusinessEntity;2;rowguid;NULL;NULL;NULL;NULL;NULL;uniqueidentifier
Person;BusinessEntity;PersonBusinessEntity;3;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
Person;BusinessEntityAddress;PersonBusinessEntityAddress;1;BusinessEntityID;>-;Person.BusinessEntity;BusinessEntityID;1;FK_BusinessEntityAddress_BusinessEntity_BusinessEntityID;int
Person;BusinessEntityAddress;PersonBusinessEntityAddress;2;AddressID;>-;Person.Address;AddressID;1;FK_BusinessEntityAddress_Address_AddressID;int
Person;BusinessEntityAddress;PersonBusinessEntityAddress;3;AddressTypeID;>-;Person.AddressType;AddressTypeID;1;FK_BusinessEntityAddress_AddressType_AddressTypeID;int
Person;BusinessEntityAddress;PersonBusinessEntityAddress;4;rowguid;NULL;NULL;NULL;NULL;NULL;uniqueidentifier
Person;BusinessEntityAddress;PersonBusinessEntityAddress;5;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
Person;BusinessEntityContact;PersonBusinessEntityContact;1;BusinessEntityID;>-;Person.BusinessEntity;BusinessEntityID;1;FK_BusinessEntityContact_BusinessEntity_BusinessEntityID;int
Person;BusinessEntityContact;PersonBusinessEntityContact;2;PersonID;>-;Person.Person;BusinessEntityID;1;FK_BusinessEntityContact_Person_PersonID;int
Person;BusinessEntityContact;PersonBusinessEntityContact;3;ContactTypeID;>-;Person.ContactType;ContactTypeID;1;FK_BusinessEntityContact_ContactType_ContactTypeID;int
Person;BusinessEntityContact;PersonBusinessEntityContact;4;rowguid;NULL;NULL;NULL;NULL;NULL;uniqueidentifier
Person;BusinessEntityContact;PersonBusinessEntityContact;5;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
Person;ContactType;PersonContactType;1;ContactTypeID;NULL;NULL;NULL;NULL;NULL;int
Person;ContactType;PersonContactType;2;Name;NULL;NULL;NULL;NULL;NULL;nvarchar
Person;ContactType;PersonContactType;2;Name;NULL;NULL;NULL;NULL;NULL;sysname
Person;ContactType;PersonContactType;2;Name;NULL;NULL;NULL;NULL;NULL;AccountNumber
Person;ContactType;PersonContactType;2;Name;NULL;NULL;NULL;NULL;NULL;Name
Person;ContactType;PersonContactType;2;Name;NULL;NULL;NULL;NULL;NULL;OrderNumber
Person;ContactType;PersonContactType;2;Name;NULL;NULL;NULL;NULL;NULL;Phone
Person;ContactType;PersonContactType;3;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
Person;CountryRegion;PersonCountryRegion;1;CountryRegionCode;NULL;NULL;NULL;NULL;NULL;nvarchar
Person;CountryRegion;PersonCountryRegion;1;CountryRegionCode;NULL;NULL;NULL;NULL;NULL;sysname
Person;CountryRegion;PersonCountryRegion;1;CountryRegionCode;NULL;NULL;NULL;NULL;NULL;AccountNumber
Person;CountryRegion;PersonCountryRegion;1;CountryRegionCode;NULL;NULL;NULL;NULL;NULL;Name
Person;CountryRegion;PersonCountryRegion;1;CountryRegionCode;NULL;NULL;NULL;NULL;NULL;OrderNumber
Person;CountryRegion;PersonCountryRegion;1;CountryRegionCode;NULL;NULL;NULL;NULL;NULL;Phone
Person;CountryRegion;PersonCountryRegion;2;Name;NULL;NULL;NULL;NULL;NULL;nvarchar
Person;CountryRegion;PersonCountryRegion;2;Name;NULL;NULL;NULL;NULL;NULL;sysname
Person;CountryRegion;PersonCountryRegion;2;Name;NULL;NULL;NULL;NULL;NULL;AccountNumber
Person;CountryRegion;PersonCountryRegion;2;Name;NULL;NULL;NULL;NULL;NULL;Name
Person;CountryRegion;PersonCountryRegion;2;Name;NULL;NULL;NULL;NULL;NULL;OrderNumber
Person;CountryRegion;PersonCountryRegion;2;Name;NULL;NULL;NULL;NULL;NULL;Phone
Person;CountryRegion;PersonCountryRegion;3;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
Person;EmailAddress;PersonEmailAddress;1;BusinessEntityID;>-;Person.Person;BusinessEntityID;1;FK_EmailAddress_Person_BusinessEntityID;int
Person;EmailAddress;PersonEmailAddress;2;EmailAddressID;NULL;NULL;NULL;NULL;NULL;int
Person;EmailAddress;PersonEmailAddress;3;EmailAddress;NULL;NULL;NULL;NULL;NULL;nvarchar
Person;EmailAddress;PersonEmailAddress;3;EmailAddress;NULL;NULL;NULL;NULL;NULL;sysname
Person;EmailAddress;PersonEmailAddress;3;EmailAddress;NULL;NULL;NULL;NULL;NULL;AccountNumber
Person;EmailAddress;PersonEmailAddress;3;EmailAddress;NULL;NULL;NULL;NULL;NULL;Name
Person;EmailAddress;PersonEmailAddress;3;EmailAddress;NULL;NULL;NULL;NULL;NULL;OrderNumber
Person;EmailAddress;PersonEmailAddress;3;EmailAddress;NULL;NULL;NULL;NULL;NULL;Phone
Person;EmailAddress;PersonEmailAddress;4;rowguid;NULL;NULL;NULL;NULL;NULL;uniqueidentifier
Person;EmailAddress;PersonEmailAddress;5;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
Person;Password;PersonPassword;1;BusinessEntityID;>-;Person.Person;BusinessEntityID;1;FK_Password_Person_BusinessEntityID;int
Person;Password;PersonPassword;2;PasswordHash;NULL;NULL;NULL;NULL;NULL;varchar
Person;Password;PersonPassword;3;PasswordSalt;NULL;NULL;NULL;NULL;NULL;varchar
Person;Password;PersonPassword;4;rowguid;NULL;NULL;NULL;NULL;NULL;uniqueidentifier
Person;Password;PersonPassword;5;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
Person;Person;PersonPerson;1;BusinessEntityID;>-;Person.BusinessEntity;BusinessEntityID;1;FK_Person_BusinessEntity_BusinessEntityID;int
Person;Person;PersonPerson;2;PersonType;NULL;NULL;NULL;NULL;NULL;nchar
Person;Person;PersonPerson;3;NameStyle;NULL;NULL;NULL;NULL;NULL;bit
Person;Person;PersonPerson;3;NameStyle;NULL;NULL;NULL;NULL;NULL;Flag
Person;Person;PersonPerson;3;NameStyle;NULL;NULL;NULL;NULL;NULL;NameStyle
Person;Person;PersonPerson;4;Title;NULL;NULL;NULL;NULL;NULL;nvarchar
Person;Person;PersonPerson;4;Title;NULL;NULL;NULL;NULL;NULL;sysname
